"","Z","Y","C"
"1163",25,16,0
"1164",48,15,0
"1165",51,15,0
"1166",18,15,0
"1167",58,15,1
"1168",29,15,0
"1169",45,15,0
"1170",22,15,0
"1171",43,15,0
"1172",24,15,0
"1173",58,15,1
"1174",43,15,0
"1175",58,15,1
"1176",58,15,1
"1177",58,15,1
"1178",36,15,0
"1179",58,15,1
"1180",58,15,1
"1181",55,15,0
"1182",41,14,0
"1183",58,15,1
"1184",26,14,0
"1185",37,15,0
"1186",58,15,0
"1187",20,15,0
"1188",57,14,1
"1189",23,14,0
"1190",57,14,1
"1191",32,14,0
"1192",22,14,0
"1193",15,14,0
"1194",28,14,0
"1195",34,14,0
"1196",57,14,1
"1197",50,14,0
"1198",32,14,0
"1199",51,14,0
"1200",57,14,1
"1201",57,14,1
"1202",57,14,1
"1203",57,14,1
"1204",57,14,1
"1205",37,14,0
"1206",37,14,0
"1207",57,14,1
"1208",57,14,1
"1209",57,14,1
"1210",57,14,1
"1211",26,14,0
"1212",57,14,1
"1213",57,14,1
"1214",29,18,0
"1215",41,18,0
"1216",61,18,1
"1217",29,16,0
"1218",59,16,1
"1219",59,16,1
"1220",30,16,0
"1221",60,17,1
"1222",59,16,1
"1223",54,16,0
"1224",59,16,0
"1225",49,16,0
"1226",59,16,1
"1227",24,16,0
"1228",59,16,0
"1229",59,16,1
"1230",38,16,0
"1231",52,16,0
"1232",26,16,0
"1233",27,16,0
"1234",29,16,0
"1235",59,16,1
"1236",38,15,0
"1237",19,15,0
"1238",58,15,0
"1239",23,15,0
"1240",29,15,0
"1241",20,15,0
"1242",57,15,0
"1243",58,15,1
"1244",56,15,0
"1245",22,15,0
"1246",57,15,0
"1247",29,15,0
"1248",45,15,0
"1249",32,15,0
"1250",36,15,0
"1251",58,15,1
"1252",48,15,0
"1253",58,15,1
"1254",52,15,0
"1255",58,15,1
"1256",38,15,0
"1257",31,14,0
"1258",43,14,0
"1259",56,14,0
"1260",24,15,0
"1261",39,14,0
"1262",57,14,1
"1263",37,14,0
"1264",57,14,1
"1265",50,14,0
"1266",34,14,0
"1267",55,15,0
"1268",27,14,0
"1269",25,14,0
"1270",36,14,0
"1271",57,14,1
"1272",42,14,0
"1273",43,14,0
"1274",57,14,1
"1275",57,14,1
"1276",49,14,0
"1277",47,14,0
"1278",57,14,1
"1279",41,14,0
"1280",56,13,1
"1281",16,14,0
"1282",52,14,0
"1283",44,14,0
"1284",34,13,0
"1285",50,14,0
"1286",38,13,0
"1287",55,13,0
"1288",56,13,1
"1289",54,13,0
"1290",56,13,1
"1291",56,13,1
"1292",56,13,1
"1293",56,13,0
"1294",56,13,1
"1295",49,13,0
"1296",56,13,1
"1297",42,13,0
"1298",56,13,1
"1299",38,13,0
"1300",40,13,0
"1301",46,13,0
"1302",56,13,1
"1303",56,13,1
"1304",52,13,0
"1305",56,13,1
"1306",53,13,0
"1307",20,13,0
"1308",56,13,0
"1309",45,13,0
"1310",31,13,0
"1311",26,13,0
"1312",37,13,0
"1313",55,12,1
"1314",34,12,0
"1315",55,12,1
"1316",36,11,0
"1317",20,11,0
"1318",26,11,0
"1319",54,11,1
"1320",50,11,0
"1321",44,11,0
"1322",52,11,0
"1323",17,11,0
"1324",48,11,0
"1325",54,11,1
"1326",54,11,1
"1327",54,11,1
"1328",25,11,0
"1329",32,11,0
"1330",47,11,0
"1331",54,11,1
"1332",54,11,1
"1333",54,11,1
"1334",54,11,1
"1335",32,11,0
"1336",54,11,1
"1337",54,11,1
"1338",54,11,1
"1339",24,11,0
"1340",21,11,0
"1341",44,11,0
"1342",18,11,0
"1343",54,11,1
"1344",31,11,0
"1345",24,11,0
"1346",38,11,0
"1347",54,11,1
"1348",54,11,1
"1349",29,10,0
"1350",25,10,0
"1351",19,11,0
"1352",46,10,0
"1353",46,10,0
"1354",11,10,0
"1355",53,10,1
"1356",48,11,0
"1357",53,10,0
"1358",53,10,1
"1359",53,10,1
"1360",34,10,0
"1361",51,14,0
"1362",47,14,0
"1363",57,14,1
"1364",56,13,0
"1365",36,13,0
"1366",19,13,0
"1367",24,13,0
"1368",34,13,0
"1369",51,13,0
"1370",46,13,0
"1371",47,13,0
"1372",56,13,1
"1373",56,13,1
"1374",48,13,0
"1375",56,13,1
"1376",43,13,0
"1377",56,13,1
"1378",15,13,0
"1379",56,13,1
"1380",20,13,0
"1381",48,13,0
"1382",24,13,0
"1383",28,13,0
"1384",56,13,1
"1385",52,13,0
"1386",14,12,0
"1387",29,12,0
"1388",47,12,0
"1389",21,12,0
"1390",29,12,0
"1391",55,12,1
"1392",32,12,0
"1393",45,12,0
"1394",31,12,0
"1395",55,12,1
"1396",55,12,1
"1397",54,11,1
"1398",14,12,0
"1399",54,11,1
"1400",54,11,1
"1401",40,11,0
"1402",12,11,0
"1403",54,11,1
"1404",54,11,1
"1405",54,11,1
"1406",52,11,0
"1407",35,11,0
"1408",54,11,1
"1409",49,11,0
"1410",43,11,0
"1411",25,11,0
"1412",48,11,0
"1413",24,11,0
"1414",52,11,0
"1415",29,11,0
"1416",54,11,1
"1417",32,11,0
"1418",36,11,0
"1419",54,11,1
"1420",54,11,1
"1421",13,11,0
"1422",35,11,0
"1423",47,11,0
"1424",54,11,1
"1425",53,11,0
"1426",54,11,1
"1427",54,11,1
"1428",54,11,1
"1429",54,11,1
"1430",53,10,1
"1431",53,10,1
"1432",53,10,1
"1433",53,10,0
"1434",53,10,1
"1435",48,10,0
"1436",46,10,0
"1437",32,10,0
"1438",53,10,1
"1439",47,11,0
"1440",50,10,0
"1441",49,10,0
"1442",53,10,1
"1443",22,10,0
"1444",53,10,1
"1445",30,10,0
"1446",53,10,0
"1447",23,10,0
"1448",53,10,1
"1449",38,10,0
"1450",53,10,1
"1451",47,10,0
"1452",34,10,0
"1453",39,10,0
"1454",53,10,1
"1455",53,10,1
"1456",33,10,0
"1457",50,10,0
"1458",11,10,0
"1459",30,10,0
"1460",46,10,0
"1461",53,10,1
"1462",11,10,0
"1463",28,10,0
"1464",19,10,0
"1465",53,10,1
"1466",53,10,1
"1467",53,10,1
"1468",23,10,0
"1469",53,10,1
"1470",33,10,0
"1471",13,9,0
"1472",31,10,0
"1473",28,9,0
"1474",52,10,0
"1475",37,9,0
"1476",53,10,1
"1477",14,9,0
"1478",48,10,0
"1479",52,9,1
"1480",36,9,0
"1481",52,9,1
"1482",52,9,1
"1483",24,9,0
"1484",52,9,1
"1485",52,9,1
"1486",52,9,1
"1487",15,9,0
"1488",39,9,0
"1489",52,9,1
"1490",45,9,0
"1491",44,9,0
"1492",52,9,1
"1493",36,9,0
"1494",52,9,1
"1495",37,9,0
